time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-28T21:41:54.000Z,-31.614,-68.732,107,3.8,mb,,,,1.09,us,us10007czn,2016-11-29T00:22:51.040Z,"7km S of Zonda, Argentina",earthquake,5,4.3,0.509,1,reviewed,sja,us
2016-11-28T21:39:34.840Z,34.3125,-116.827,11.69,1.08,ml,10,122,0.03543,0.06,ci,ci37752232,2016-11-29T02:00:04.881Z,"6km NNE of Big Bear City, CA",earthquake,0.3,0.55,0.135,11,reviewed,ci,ci
2016-11-28T21:35:59.974Z,58.8685,-153.7245,0.2,2,ml,,,,0.72,ak,ak14477080,2016-11-28T21:50:50.078Z,"119km SE of Old Iliamna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-11-28T21:29:03.470Z,47.1636667,-121.8156667,-1.23,1.35,ml,6,137,0.0424,0.04,uw,uw61220342,2016-11-28T23:37:58.850Z,"14km ESE of Enumclaw, Washington",explosion,0.53,31.61,0.094,5,reviewed,uw,uw
2016-11-28T21:21:54.595Z,60.9288,-150.903,20,2.1,ml,,,,0.85,ak,ak14477076,2016-11-28T21:34:56.568Z,"33km NE of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2016-11-28T20:28:08.180Z,45.9245,-121.938,9.66,1.16,ml,9,183,0.2067,0.11,uw,uw61220337,2016-11-28T20:53:21.820Z,"23km NNW of Carson, Washington",earthquake,0.6,2.85,0.025,6,reviewed,uw,uw
2016-11-28T19:44:42.270Z,38.833168,-122.7993317,2.05,1.01,md,16,58,0.008756,0.02,nc,nc72730460,2016-11-28T19:46:20.042Z,"6km W of Cobb, California",earthquake,0.31,0.48,0.19,4,automatic,nc,nc
2016-11-28T19:34:32.430Z,36.1116676,-117.8718338,2.56,2.5,ml,34,34,0.01496,0.14,ci,ci37752168,2016-11-29T02:48:00.010Z,"10km NE of Coso Junction, CA",earthquake,0.25,0.4,0.312,24,automatic,ci,ci
2016-11-28T19:31:41.870Z,37.6551666,-122.2528305,12.01,2.25,md,6,180,0.222,0.03,nc,nc72730440,2016-11-28T19:54:04.160Z,"10km N of Foster City, California",earthquake,3.84,1.25,0.16,6,automatic,nc,nc
2016-11-28T19:08:46.550Z,34.3361664,-116.8809967,-0.39,1.61,ml,31,39,0.04585,0.16,ci,ci37752144,2016-11-28T19:10:51.105Z,"9km NNW of Big Bear City, CA",earthquake,0.31,0.72,0.114,13,automatic,ci,ci
